lambda_0.16,lambda_0.17,lambda_0.18,lambda_0.19,lambda_0.2,lambda_0.21,lambda_0.22,lambda_0.23,lambda_0.24,lambda_0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.16,0.19,0.21,0.17,0.24,0.2,0.23,0.34,0.24
0.28,0.32,0.31,0.39,0.3,0.47,0.35,0.48,0.48,0.36
0.32,0.5,0.45,0.52,0.41,0.56,0.55,0.67,0.73,0.64
0.43,0.6,0.51,0.6,0.54,0.67,0.8,0.83,0.84,0.8
0.55,0.76,0.62,0.7,0.7,0.79,1.0,0.96,1.07,0.94
0.68,0.8,0.72,0.79,0.86,0.85,1.15,1.16,1.2,1.17
0.8,0.87,0.83,0.88,0.93,0.88,1.18,1.33,1.37,1.27
0.87,0.85,0.96,0.95,1.05,1.15,1.21,1.51,1.49,1.4
0.92,1.0,1.05,1.1,1.21,1.23,1.42,1.61,1.61,1.53
1.09,1.06,1.13,1.15,1.39,1.29,1.65,1.67,1.71,1.58
1.17,1.15,1.25,1.17,1.53,1.43,1.81,1.85,2.01,1.79
1.26,1.23,1.39,1.14,1.51,1.55,1.92,2.03,2.1,2.0
1.3,1.42,1.41,1.24,1.54,1.62,1.99,2.15,2.26,2.21
1.41,1.52,1.57,1.38,1.66,1.73,2.11,2.23,2.35,2.29
1.39,1.54,1.61,1.56,1.82,1.86,2.28,2.33,2.46,2.44
1.53,1.62,1.78,1.55,1.93,2.05,2.4,2.35,2.59,2.6
1.54,1.68,1.85,1.49,1.91,2.08,2.39,2.32,2.65,2.66
1.52,1.75,1.96,1.62,1.93,2.17,2.39,2.42,2.71,2.89
1.61,1.9,2.04,1.7,1.93,2.33,2.5,2.58,2.74,2.96
1.61,1.94,2.01,1.8,2.03,2.41,2.6,2.85,2.79,3.05
1.72,1.97,2.1,1.82,2.11,2.41,2.6,2.92,2.82,3.29
1.77,2.01,2.21,1.87,2.11,2.54,2.72,3.05,2.93,3.4
1.86,2.0,2.25,1.96,2.18,2.64,2.83,3.23,2.9,3.35
1.82,2.12,2.25,2.04,2.33,2.78,2.92,3.36,3.13,3.62
1.84,2.08,2.29,2.06,2.49,2.86,3.03,3.42,3.24,3.7
1.89,2.19,2.38,2.12,2.54,2.89,3.26,3.58,3.31,3.77
1.96,2.16,2.56,2.17,2.57,3.02,3.42,3.67,3.4,3.95
2.05,2.22,2.56,2.27,2.6,3.1,3.57,3.84,3.45,3.99
2.11,2.25,2.56,2.44,2.64,3.21,3.6,3.98,3.64,4.11
2.2,2.34,2.71,2.54,2.61,3.17,3.63,3.98,3.65,4.23
2.24,2.36,2.79,2.54,2.75,3.25,3.65,3.98,3.77,4.31
2.24,2.49,2.84,2.63,2.84,3.42,3.74,3.95,3.89,4.55
2.34,2.56,2.95,2.75,2.94,3.47,3.89,4.05,3.99,4.72
2.39,2.62,2.94,2.83,3.03,3.46,3.9,4.07,4.06,4.84
2.48,2.65,3.03,2.87,3.2,3.44,4.01,4.27,4.17,4.94
2.57,2.55,3.06,2.99,3.28,3.43,4.08,4.36,4.23,5.1
2.67,2.53,3.14,3.08,3.31,3.57,4.12,4.39,4.32,5.16
2.66,2.52,3.13,3.1,3.38,3.55,4.06,4.52,4.36,5.28
2.72,2.59,3.09,3.22,3.44,3.62,4.19,4.59,4.43,5.4
2.73,2.64,3.18,3.23,3.56,3.72,4.35,4.65,4.55,5.45
2.71,2.73,3.16,3.44,3.64,3.84,4.46,4.72,4.63,5.61
2.69,2.79,3.28,3.48,3.77,3.87,4.61,4.74,4.7,5.73
2.75,2.8,3.26,3.53,3.86,3.96,4.74,4.84,4.83,5.79
2.76,2.73,3.33,3.63,3.97,4.07,4.76,4.96,4.99,5.93
2.83,2.87,3.47,3.67,4.01,4.11,4.76,5.04,5.13,6.03
2.82,2.86,3.47,3.75,4.1,4.2,4.83,5.1,5.24,6.14
2.83,2.86,3.68,3.81,4.23,4.33,4.92,5.18,5.39,6.1
2.84,2.9,3.68,3.88,4.39,4.47,5.03,5.35,5.54,6.11
2.82,3.02,3.75,3.92,4.53,4.59,5.05,5.57,5.58,6.25
2.86,3.11,3.8,3.94,4.68,4.71,5.15,5.58,5.65,6.38
2.98,3.07,3.85,3.95,4.78,4.79,5.21,5.74,5.73,6.39
3.01,3.05,3.86,4.03,4.95,4.83,5.28,5.87,5.87,6.48
2.97,3.07,3.86,4.1,4.91,4.83,5.35,6.05,5.88,6.59
2.94,3.19,3.83,4.12,4.95,4.96,5.37,6.2,6.01,6.73
2.99,3.24,3.9,4.06,5.06,5.02,5.5,6.36,6.07,6.85
2.98,3.39,4.02,4.18,5.15,5.08,5.58,6.54,6.1,6.96
3.03,3.37,4.02,4.23,5.22,5.11,5.55,6.64,6.23,7.04
3.05,3.36,3.99,4.25,5.32,5.16,5.64,6.72,6.39,7.17
2.99,3.4,4.09,4.4,5.26,5.3,5.68,6.81,6.45,7.27
3.05,3.37,4.1,4.39,5.31,5.33,5.77,6.8,6.54,7.42
