lambda_1.01,lambda_1.02,lambda_1.03,lambda_1.04,lambda_1.05,lambda_1.06,lambda_1.07,lambda_1.08,lambda_1.09,lambda_1.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.78,0.72,0.68,0.7,0.64,0.73,0.73,0.77,0.58
0.99,1.12,1.32,1.12,1.14,1.1,1.32,1.21,1.03,1.24
1.32,1.43,1.68,1.63,1.58,1.35,1.63,1.55,1.48,1.81
1.78,1.81,2.11,1.87,1.74,1.9,2.06,1.87,1.87,2.38
2.06,2.18,2.22,2.2,2.11,2.11,2.5,2.07,2.3,2.71
2.15,2.38,2.67,2.31,2.58,2.67,2.5,2.38,2.46,2.58
2.26,2.55,2.77,2.5,2.83,2.82,2.72,2.7,2.65,2.97
2.3,2.83,2.91,2.76,3.16,2.95,2.84,2.82,3.05,3.1
2.32,2.93,3.14,3.02,3.22,3.26,3.14,3.29,3.09,3.26
2.77,3.23,3.39,3.31,3.42,3.31,3.27,3.44,3.49,3.32
2.99,3.31,3.61,3.61,3.44,3.49,3.68,3.89,3.61,3.48
3.24,3.39,3.64,3.73,3.41,3.89,3.83,4.41,3.9,3.77
3.4,3.38,3.77,3.97,3.63,4.3,4.11,4.54,3.95,3.96
3.57,3.46,3.89,4.02,3.75,4.39,4.35,4.83,4.22,4.33
3.74,3.57,4.02,3.9,3.87,4.7,4.51,5.11,4.39,4.59
3.77,3.78,4.27,4.09,3.92,4.91,4.73,5.26,4.4,5.06
3.98,3.98,4.56,4.27,3.97,5.12,4.91,5.58,4.7,5.53
4.05,4.22,4.69,4.15,4.15,5.31,5.01,5.79,5.05,5.82
3.96,4.3,4.83,4.48,4.32,5.54,5.14,5.93,5.4,6.13
4.04,4.33,4.83,4.42,4.45,5.65,5.54,6.22,5.56,6.4
4.33,4.36,4.94,4.41,4.46,5.63,5.63,6.38,5.78,6.52
4.42,4.79,4.85,4.51,4.76,5.71,5.97,6.58,6.0,6.6
4.59,4.75,5.22,4.35,4.76,5.75,5.99,6.75,6.18,6.8
4.79,4.79,5.39,4.26,4.68,5.95,6.21,6.94,6.18,6.75
4.97,4.95,5.41,4.34,5.1,6.2,6.36,7.11,6.42,6.8
5.2,5.08,5.5,4.62,5.17,6.15,6.38,7.3,6.89,6.91
5.3,5.11,5.51,4.94,5.24,6.21,6.59,7.52,7.17,7.1
5.4,5.38,5.68,4.86,5.48,6.11,6.79,7.88,7.03,7.47
5.48,5.36,5.86,5.06,5.38,6.32,7.08,8.28,7.48,7.57
5.49,5.51,5.82,5.26,5.61,6.11,7.07,8.57,7.57,7.85
5.45,5.62,6.09,5.62,5.64,6.31,7.27,8.79,7.95,7.99
5.48,5.73,6.0,5.69,5.87,6.46,7.62,8.83,8.02,8.33
5.65,5.97,6.24,5.67,5.95,6.47,7.65,9.06,8.41,8.48
5.71,6.11,6.55,5.77,6.09,6.55,8.04,9.17,8.61,8.66
