lambda_0.1,lambda_0.2,lambda_0.3,lambda_0.4,lambda_0.5,lambda_0.6,lambda_0.7,lambda_0.8,lambda_0.9,lambda_1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.102,0.18,0.277,0.308,0.396,0.479,0.585,0.578,0.636,0.713
0.18,0.323,0.477,0.581,0.734,0.813,0.93,0.953,1.092,1.237
0.253,0.461,0.62,0.764,0.964,1.105,1.264,1.24,1.407,1.549
0.326,0.582,0.83,0.928,1.175,1.351,1.497,1.534,1.737,1.823
0.371,0.705,0.965,1.087,1.354,1.603,1.701,1.717,2.017,2.105
0.443,0.83,1.042,1.218,1.467,1.804,1.913,1.955,2.222,2.34
0.512,0.945,1.208,1.363,1.602,1.951,2.135,2.155,2.408,2.581
0.551,1.001,1.329,1.493,1.739,2.09,2.311,2.316,2.591,2.772
0.616,1.062,1.428,1.646,1.847,2.184,2.443,2.47,2.762,2.95
0.676,1.137,1.532,1.727,1.977,2.307,2.553,2.59,2.953,3.08
0.746,1.211,1.647,1.808,2.088,2.388,2.714,2.79,3.098,3.285
0.788,1.251,1.723,1.955,2.223,2.535,2.824,2.936,3.24,3.419
0.843,1.327,1.81,2.032,2.371,2.709,2.986,3.064,3.375,3.538
0.9,1.419,1.874,2.099,2.459,2.857,3.116,3.212,3.457,3.651
0.924,1.477,1.899,2.16,2.594,2.983,3.255,3.366,3.592,3.793
0.96,1.515,1.998,2.298,2.712,3.117,3.321,3.473,3.732,3.916
1.0,1.538,2.092,2.391,2.798,3.253,3.451,3.684,3.834,4.1
1.045,1.597,2.193,2.509,2.886,3.383,3.563,3.835,3.928,4.279
1.089,1.676,2.283,2.529,2.943,3.522,3.694,3.935,4.024,4.412
1.135,1.764,2.322,2.614,3.011,3.502,3.789,4.064,4.21,4.555
1.172,1.828,2.396,2.694,3.155,3.586,3.865,4.205,4.325,4.652
1.203,1.862,2.467,2.776,3.255,3.68,4.004,4.31,4.443,4.789
1.232,1.9,2.533,2.855,3.335,3.755,4.062,4.422,4.513,4.902
1.258,1.998,2.603,2.974,3.446,3.8,4.144,4.48,4.669,4.988
1.292,2.063,2.713,3.037,3.568,3.906,4.268,4.555,4.739,5.036
1.323,2.109,2.723,3.13,3.669,3.996,4.377,4.693,4.809,5.175
1.364,2.132,2.784,3.217,3.826,4.094,4.423,4.748,4.931,5.298
1.418,2.199,2.855,3.282,3.953,4.166,4.504,4.841,4.978,5.46
1.44,2.266,2.89,3.368,4.016,4.285,4.589,4.929,5.075,5.589
1.469,2.344,2.924,3.423,4.062,4.345,4.701,4.994,5.171,5.736
1.492,2.374,2.976,3.527,4.133,4.41,4.749,5.138,5.201,5.84
1.527,2.434,3.069,3.655,4.22,4.499,4.818,5.222,5.322,5.935
1.558,2.485,3.098,3.68,4.305,4.603,4.86,5.382,5.432,6.007
1.576,2.557,3.172,3.749,4.385,4.707,4.938,5.4,5.474,6.026
1.631,2.592,3.21,3.883,4.41,4.785,5.083,5.488,5.547,6.125
1.661,2.629,3.277,3.969,4.465,4.847,5.158,5.564,5.665,6.249
1.677,2.673,3.327,4.038,4.544,4.86,5.216,5.639,5.736,6.301
1.72,2.702,3.395,4.106,4.628,4.907,5.334,5.694,5.836,6.401
1.752,2.724,3.461,4.188,4.631,5.0,5.299,5.827,5.943,6.496
1.79,2.744,3.502,4.273,4.749,5.108,5.367,5.905,6.005,6.576
1.824,2.791,3.586,4.332,4.794,5.202,5.418,5.987,6.053,6.686
1.854,2.826,3.593,4.367,4.831,5.237,5.474,6.05,6.087,6.811
1.881,2.878,3.628,4.493,4.886,5.302,5.55,6.134,6.198,6.914
1.896,2.909,3.69,4.587,4.957,5.279,5.621,6.293,6.327,7.006
1.95,2.948,3.718,4.634,4.998,5.381,5.672,6.353,6.394,7.11
1.98,2.988,3.772,4.599,5.04,5.469,5.75,6.462,6.518,7.204
1.992,3.05,3.805,4.618,5.117,5.555,5.812,6.603,6.541,7.358
2.005,3.076,3.846,4.675,5.145,5.655,5.851,6.696,6.651,7.481
2.005,3.148,3.842,4.741,5.214,5.748,5.878,6.827,6.768,7.585
2.032,3.18,3.897,4.771,5.27,5.809,5.928,6.868,6.846,7.625
2.079,3.235,3.985,4.798,5.35,5.885,6.0,6.832,6.944,7.679
2.104,3.244,4.02,4.842,5.44,5.933,6.067,6.875,7.048,7.755
2.122,3.262,4.056,4.898,5.512,6.059,6.161,6.971,7.091,7.842
2.152,3.301,4.159,4.933,5.579,6.087,6.232,7.073,7.233,7.921
2.197,3.328,4.184,4.962,5.655,6.12,6.341,7.126,7.281,7.978
2.198,3.336,4.222,5.009,5.703,6.126,6.383,7.207,7.354,8.092
2.221,3.371,4.245,5.019,5.728,6.163,6.505,7.242,7.421,8.172
2.26,3.378,4.27,5.085,5.777,6.283,6.552,7.304,7.444,8.263
2.282,3.423,4.298,5.149,5.84,6.36,6.624,7.353,7.502,8.313
2.313,3.453,4.313,5.199,5.927,6.421,6.649,7.391,7.502,8.338
2.341,3.477,4.327,5.216,5.953,6.5,6.72,7.495,7.55,8.302
2.358,3.522,4.362,5.221,6.009,6.54,6.788,7.602,7.626,8.403
2.364,3.517,4.406,5.23,6.004,6.676,6.848,7.675,7.711,8.412
2.366,3.578,4.442,5.28,6.05,6.706,6.947,7.803,7.752,8.438
2.386,3.645,4.48,5.343,6.099,6.78,6.963,7.811,7.801,8.535
2.401,3.682,4.476,5.396,6.186,6.827,7.022,7.925,7.964,8.552
2.414,3.748,4.504,5.46,6.209,6.83,7.039,8.099,8.035,8.652
2.441,3.789,4.535,5.52,6.243,6.91,7.112,8.126,8.123,8.726
2.478,3.806,4.574,5.549,6.312,6.952,7.226,8.164,8.203,8.796
2.48,3.855,4.622,5.602,6.334,6.995,7.26,8.193,8.196,8.856
2.506,3.875,4.666,5.641,6.369,7.032,7.284,8.278,8.248,8.913
2.539,3.909,4.685,5.728,6.401,7.063,7.273,8.328,8.305,8.941
2.571,3.944,4.748,5.768,6.461,7.154,7.319,8.408,8.436,8.97
2.597,4.006,4.824,5.823,6.506,7.205,7.315,8.422,8.496,9.057
2.606,4.037,4.857,5.895,6.543,7.271,7.375,8.495,8.47,9.065
2.622,4.062,4.93,5.965,6.607,7.319,7.404,8.541,8.476,9.145
2.668,4.064,4.922,6.006,6.622,7.359,7.551,8.545,8.531,9.167
2.683,4.099,4.979,6.021,6.675,7.481,7.583,8.617,8.651,9.277
2.69,4.15,4.966,6.063,6.68,7.574,7.646,8.712,8.785,9.295
2.714,4.185,5.012,6.096,6.703,7.657,7.736,8.77,8.88,9.352
2.758,4.25,5.054,6.087,6.749,7.669,7.747,8.865,8.917,9.459
2.768,4.272,5.072,6.134,6.81,7.696,7.802,8.951,8.975,9.502
2.779,4.311,5.115,6.205,6.869,7.756,7.884,8.947,8.98,9.57
2.802,4.352,5.131,6.285,6.889,7.764,7.908,8.978,9.024,9.725
2.844,4.374,5.123,6.336,6.96,7.838,7.963,8.992,9.129,9.731
2.871,4.421,5.213,6.445,6.977,7.905,8.047,9.129,9.165,9.801
2.897,4.47,5.263,6.432,6.995,7.957,8.112,9.212,9.209,9.806
2.908,4.471,5.302,6.479,7.045,8.002,8.161,9.229,9.305,9.915
2.918,4.493,5.337,6.573,7.076,7.983,8.241,9.3,9.375,9.988
2.933,4.501,5.353,6.617,7.116,8.01,8.346,9.369,9.418,10.095
2.956,4.533,5.46,6.69,7.207,8.068,8.429,9.379,9.466,10.255
2.982,4.552,5.494,6.777,7.242,8.082,8.503,9.448,9.533,10.403
3.008,4.577,5.546,6.831,7.233,8.093,8.605,9.452,9.557,10.488
3.006,4.616,5.569,6.915,7.242,8.121,8.653,9.487,9.59,10.561
3.008,4.636,5.538,6.961,7.346,8.157,8.665,9.487,9.653,10.682
3.008,4.66,5.59,6.976,7.421,8.172,8.657,9.6,9.727,10.795
3.027,4.702,5.591,7.02,7.463,8.287,8.69,9.639,9.797,10.837
3.038,4.714,5.656,7.05,7.487,8.397,8.792,9.703,9.869,10.886
3.045,4.748,5.722,7.079,7.594,8.5,8.854,9.808,9.954,10.911
3.048,4.751,5.773,7.161,7.632,8.538,8.914,9.917,10.073,10.966
3.049,4.794,5.784,7.208,7.642,8.569,8.964,9.921,10.145,10.945
3.087,4.823,5.817,7.255,7.698,8.598,8.997,9.952,10.247,10.938
3.099,4.816,5.811,7.27,7.727,8.662,9.03,10.044,10.3,11.085
3.108,4.843,5.882,7.293,7.767,8.714,9.045,10.142,10.321,11.171
3.107,4.851,5.915,7.349,7.813,8.734,9.074,10.194,10.41,11.21
3.109,4.883,5.95,7.411,7.897,8.752,9.056,10.237,10.56,11.252
3.14,4.896,5.99,7.45,7.967,8.742,9.064,10.263,10.631,11.336
3.125,4.888,6.065,7.508,7.925,8.86,9.141,10.352,10.628,11.429
3.149,4.913,6.095,7.539,7.965,8.832,9.227,10.392,10.707,11.451
3.175,4.921,6.112,7.55,8.059,8.891,9.237,10.456,10.765,11.478
3.204,4.913,6.179,7.608,8.185,8.947,9.23,10.543,10.777,11.547
3.253,4.951,6.17,7.652,8.233,8.982,9.295,10.553,10.796,11.62
3.256,4.983,6.202,7.653,8.238,9.021,9.39,10.619,10.84,11.728
3.249,5.057,6.222,7.663,8.287,9.093,9.455,10.71,10.964,11.78
3.278,5.107,6.25,7.725,8.389,9.129,9.547,10.744,10.969,11.825
3.286,5.12,6.239,7.712,8.403,9.151,9.622,10.842,10.935,11.865
3.332,5.17,6.241,7.79,8.402,9.241,9.703,10.889,10.975,11.929
3.36,5.162,6.288,7.868,8.399,9.343,9.8,10.949,11.053,12.035
3.37,5.172,6.319,7.929,8.459,9.385,9.874,11.024,11.076,12.146
3.383,5.21,6.353,7.953,8.488,9.432,9.936,11.085,11.142,12.192
3.368,5.204,6.381,7.975,8.544,9.455,9.936,11.145,11.189,12.192
3.377,5.224,6.405,8.02,8.528,9.472,9.949,11.166,11.186,12.198
3.372,5.287,6.403,8.04,8.602,9.522,9.945,11.272,11.284,12.272
3.407,5.313,6.401,8.059,8.625,9.576,9.977,11.358,11.256,12.349
3.417,5.307,6.461,8.038,8.636,9.607,10.023,11.434,11.255,12.346
3.419,5.325,6.526,8.073,8.711,9.649,10.019,11.478,11.318,12.455
3.429,5.349,6.543,8.099,8.75,9.698,10.092,11.522,11.366,12.472
3.445,5.363,6.573,8.074,8.795,9.745,10.136,11.616,11.339,12.506
3.477,5.344,6.578,8.136,8.83,9.712,10.171,11.665,11.343,12.588
3.503,5.337,6.638,8.162,8.799,9.778,10.213,11.649,11.351,12.638
3.535,5.354,6.701,8.215,8.738,9.848,10.269,11.647,11.38,12.688
3.529,5.381,6.722,8.212,8.764,9.878,10.384,11.672,11.505,12.726
3.548,5.37,6.747,8.237,8.783,9.947,10.425,11.752,11.601,12.737
3.554,5.401,6.771,8.33,8.772,9.955,10.485,11.851,11.749,12.776
3.576,5.423,6.786,8.334,8.798,10.007,10.522,11.864,11.785,12.862
3.583,5.436,6.797,8.411,8.855,10.093,10.539,11.924,11.876,12.872
3.595,5.467,6.798,8.492,8.912,10.102,10.651,11.951,11.922,12.824
3.59,5.506,6.876,8.536,8.943,10.116,10.77,12.043,11.962,12.906
3.595,5.542,6.921,8.576,8.958,10.186,10.761,12.043,11.996,12.959
3.602,5.562,6.951,8.621,9.009,10.21,10.832,12.116,12.053,13.063
3.647,5.572,7.0,8.707,9.023,10.176,10.891,12.188,12.159,13.039
3.659,5.63,7.031,8.76,9.051,10.192,10.847,12.295,12.274,13.037
3.668,5.652,7.092,8.825,9.067,10.221,10.845,12.32,12.347,13.118
3.663,5.658,7.109,8.806,9.159,10.248,10.904,12.359,12.38,13.165
3.682,5.659,7.128,8.825,9.159,10.273,10.975,12.422,12.465,13.213
3.689,5.647,7.114,8.855,9.271,10.274,10.95,12.458,12.418,13.193
3.705,5.68,7.148,8.865,9.326,10.31,10.953,12.493,12.475,13.253
3.719,5.699,7.159,8.881,9.36,10.353,11.003,12.525,12.598,13.249
3.735,5.791,7.178,8.874,9.348,10.35,11.087,12.597,12.66,13.28
3.764,5.816,7.23,8.883,9.377,10.396,11.099,12.688,12.647,13.381
3.797,5.853,7.268,8.889,9.426,10.404,11.106,12.731,12.711,13.409
3.804,5.896,7.296,8.938,9.454,10.472,11.163,12.717,12.814,13.414
3.814,5.92,7.324,8.937,9.465,10.551,11.284,12.736,12.851,13.405
3.815,5.949,7.329,8.918,9.473,10.588,11.343,12.771,12.874,13.395
3.839,5.971,7.355,8.941,9.483,10.615,11.372,12.867,12.94,13.502
3.833,5.964,7.355,9.003,9.55,10.7,11.408,12.877,12.974,13.592
3.857,5.983,7.376,8.998,9.635,10.719,11.497,12.983,13.001,13.735
3.891,5.956,7.426,9.03,9.701,10.686,11.533,13.021,12.981,13.752
3.922,5.964,7.456,9.026,9.768,10.702,11.56,13.105,13.002,13.857
3.953,5.971,7.469,8.99,9.82,10.756,11.639,13.144,13.05,13.942
3.96,6.006,7.469,9.016,9.868,10.813,11.647,13.175,13.109,13.973
3.982,6.035,7.511,9.08,9.856,10.896,11.708,13.208,13.178,13.998
3.998,6.037,7.56,9.099,9.856,10.905,11.725,13.281,13.221,14.038
4.011,6.054,7.554,9.099,9.897,10.939,11.734,13.345,13.299,14.019
4.023,6.076,7.555,9.107,9.905,10.921,11.84,13.351,13.341,14.11
4.039,6.109,7.603,9.141,9.942,11.008,11.901,13.36,13.443,14.226
4.041,6.087,7.643,9.129,9.954,11.032,11.933,13.488,13.445,14.281
4.07,6.109,7.656,9.194,9.997,11.054,11.983,13.536,13.537,14.336
4.085,6.126,7.65,9.198,10.02,10.995,12.056,13.556,13.593,14.377
4.105,6.1,7.666,9.234,10.005,11.115,12.087,13.56,13.637,14.431
4.111,6.136,7.711,9.292,10.055,11.16,12.122,13.606,13.622,14.459
4.124,6.169,7.708,9.303,10.062,11.168,12.211,13.634,13.676,14.403
4.121,6.215,7.75,9.348,10.049,11.231,12.254,13.686,13.711,14.497
4.113,6.236,7.754,9.352,10.13,11.296,12.288,13.67,13.782,14.535
4.156,6.243,7.793,9.391,10.116,11.378,12.273,13.721,13.818,14.674
4.18,6.281,7.818,9.372,10.174,11.492,12.324,13.759,13.855,14.678
4.168,6.347,7.782,9.364,10.205,11.479,12.392,13.809,13.834,14.75
4.198,6.366,7.777,9.354,10.228,11.44,12.477,13.766,13.878,14.729
4.211,6.435,7.778,9.381,10.231,11.495,12.483,13.806,13.955,14.774
4.237,6.454,7.751,9.392,10.314,11.552,12.529,13.852,13.966,14.771
4.243,6.454,7.799,9.464,10.368,11.512,12.59,13.96,13.978,14.798
4.261,6.475,7.913,9.502,10.438,11.483,12.651,14.015,14.005,14.858
4.273,6.496,7.934,9.505,10.424,11.553,12.677,14.037,14.072,14.911
4.3,6.557,7.939,9.57,10.454,11.582,12.727,14.041,14.088,14.936
4.33,6.587,7.944,9.612,10.516,11.57,12.714,14.099,14.169,14.931
4.36,6.576,7.965,9.576,10.469,11.563,12.735,14.119,14.181,15.043
4.374,6.627,8.009,9.61,10.454,11.579,12.763,14.201,14.206,15.104
4.379,6.622,8.008,9.636,10.441,11.667,12.759,14.256,14.199,15.104
4.404,6.619,7.994,9.69,10.507,11.71,12.756,14.353,14.229,15.079
4.45,6.671,7.981,9.7,10.579,11.794,12.78,14.39,14.287,15.13
4.465,6.698,8.047,9.759,10.661,11.797,12.72,14.431,14.284,15.201
4.469,6.691,8.098,9.751,10.754,11.852,12.763,14.521,14.306,15.278
4.466,6.705,8.134,9.748,10.833,11.893,12.769,14.507,14.402,15.325
4.462,6.713,8.13,9.764,10.842,11.937,12.759,14.521,14.438,15.388
4.473,6.737,8.148,9.745,10.851,12.024,12.778,14.549,14.498,15.448
4.485,6.766,8.142,9.787,10.93,12.034,12.771,14.591,14.547,15.429
4.505,6.772,8.163,9.803,10.96,12.143,12.753,14.608,14.547,15.526
4.511,6.78,8.172,9.805,10.99,12.143,12.784,14.613,14.57,15.506
4.535,6.793,8.216,9.806,11.051,12.185,12.841,14.66,14.553,15.565
4.545,6.819,8.204,9.827,11.075,12.18,12.878,14.632,14.609,15.67
4.552,6.864,8.23,9.843,11.136,12.188,12.953,14.7,14.591,15.682
4.568,6.899,8.251,9.887,11.117,12.33,13.038,14.73,14.596,15.735
4.594,6.913,8.274,9.85,11.113,12.357,13.114,14.81,14.613,15.797
4.594,6.918,8.313,9.921,11.139,12.41,13.121,14.848,14.707,15.793
4.606,6.949,8.368,9.899,11.139,12.378,13.09,14.864,14.709,15.846
4.636,6.972,8.377,9.956,11.17,12.392,13.131,14.909,14.79,15.938
4.65,7.013,8.435,9.981,11.226,12.469,13.13,14.937,14.779,15.934
4.647,7.018,8.465,9.974,11.255,12.55,13.212,14.856,14.825,15.951
4.639,7.056,8.476,10.003,11.239,12.548,13.256,14.918,14.811,16.014
4.644,7.071,8.485,10.008,11.301,12.585,13.252,14.937,14.824,16.14
4.641,7.089,8.522,10.009,11.357,12.615,13.299,14.994,14.854,16.195
4.648,7.089,8.535,10.043,11.381,12.663,13.312,15.055,14.819,16.232
4.678,7.097,8.542,10.1,11.418,12.72,13.319,15.032,14.848,16.274
4.689,7.12,8.588,10.096,11.444,12.718,13.355,14.983,14.86,16.344
4.698,7.152,8.621,10.152,11.468,12.813,13.443,15.036,14.903,16.259
4.69,7.17,8.627,10.172,11.497,12.817,13.483,15.111,14.976,16.296
4.692,7.202,8.636,10.183,11.493,12.786,13.577,15.137,15.099,16.297
4.706,7.237,8.664,10.22,11.494,12.812,13.602,15.144,15.143,16.402
4.701,7.247,8.725,10.233,11.504,12.882,13.648,15.19,15.221,16.368
4.706,7.234,8.77,10.283,11.567,12.963,13.727,15.226,15.252,16.362
4.736,7.262,8.818,10.32,11.582,12.99,13.766,15.288,15.276,16.389
4.727,7.278,8.838,10.345,11.59,12.969,13.769,15.347,15.338,16.412
4.742,7.326,8.871,10.388,11.624,12.974,13.783,15.413,15.364,16.49
4.774,7.34,8.834,10.399,11.664,13.053,13.819,15.429,15.38,16.506
4.804,7.358,8.844,10.414,11.659,13.088,13.788,15.48,15.443,16.545
4.824,7.362,8.842,10.385,11.71,13.081,13.794,15.523,15.459,16.566
4.828,7.378,8.835,10.376,11.726,13.134,13.781,15.598,15.44,16.598
4.853,7.4,8.863,10.387,11.774,13.137,13.815,15.616,15.541,16.666
4.834,7.419,8.879,10.418,11.888,13.184,13.877,15.576,15.567,16.656
4.869,7.407,8.911,10.422,11.872,13.25,13.9,15.587,15.614,16.676
4.883,7.408,8.913,10.475,11.881,13.194,13.926,15.589,15.675,16.756
4.921,7.438,8.962,10.454,11.86,13.248,13.941,15.637,15.684,16.755
4.924,7.474,9.021,10.487,11.872,13.287,13.947,15.678,15.71,16.801
4.925,7.486,9.07,10.581,11.921,13.32,13.991,15.654,15.694,16.802
4.942,7.479,9.057,10.607,11.926,13.391,13.95,15.707,15.755,16.854
4.94,7.501,9.063,10.642,11.952,13.44,13.929,15.721,15.828,16.863
4.949,7.482,9.088,10.684,11.93,13.444,13.916,15.738,15.846,16.954
4.965,7.477,9.09,10.715,11.969,13.408,13.937,15.833,15.891,16.952
4.961,7.494,9.082,10.73,11.968,13.487,13.981,15.866,15.999,17.069
4.967,7.476,9.148,10.708,12.01,13.488,13.972,15.939,15.992,17.088
4.993,7.5,9.123,10.747,12.068,13.492,14.01,15.975,16.048,17.141
5.01,7.532,9.132,10.778,12.11,13.539,13.996,15.904,16.105,17.137
5.042,7.571,9.182,10.788,12.133,13.555,14.015,15.953,16.172,17.227
5.063,7.596,9.167,10.809,12.129,13.572,14.087,15.978,16.241,17.213
5.075,7.624,9.145,10.902,12.16,13.584,14.206,16.033,16.307,17.147
5.076,7.674,9.133,10.945,12.126,13.632,14.233,16.01,16.348,17.237
5.098,7.647,9.197,10.943,12.119,13.723,14.225,16.084,16.365,17.216
5.135,7.651,9.227,10.995,12.219,13.714,14.264,16.092,16.351,17.211
5.164,7.664,9.255,10.942,12.247,13.713,14.285,16.143,16.446,17.29
5.184,7.665,9.268,10.958,12.254,13.781,14.31,16.189,16.464,17.331
5.208,7.691,9.28,10.944,12.267,13.826,14.292,16.205,16.471,17.338
5.224,7.708,9.279,10.938,12.333,13.874,14.299,16.21,16.505,17.27
5.215,7.709,9.301,10.938,12.362,13.901,14.306,16.226,16.542,17.239
5.232,7.677,9.283,10.972,12.355,13.899,14.41,16.224,16.624,17.247
5.225,7.686,9.305,11.0,12.383,13.982,14.436,16.276,16.659,17.302
5.27,7.663,9.326,11.024,12.475,14.037,14.484,16.285,16.713,17.318
5.282,7.718,9.36,11.061,12.531,14.054,14.545,16.283,16.744,17.434
5.307,7.736,9.402,11.109,12.551,14.058,14.576,16.408,16.793,17.517
5.322,7.743,9.448,11.168,12.569,14.074,14.585,16.438,16.909,17.566
5.321,7.771,9.511,11.188,12.556,14.099,14.562,16.45,16.938,17.545
5.316,7.802,9.511,11.151,12.574,14.207,14.605,16.582,16.933,17.674
5.353,7.836,9.566,11.163,12.595,14.261,14.63,16.58,17.025,17.769
5.358,7.827,9.513,11.165,12.59,14.232,14.693,16.554,17.024,17.819
5.377,7.813,9.549,11.177,12.593,14.296,14.664,16.613,17.119,17.837
5.412,7.827,9.563,11.197,12.583,14.366,14.719,16.655,17.207,18.028
5.422,7.871,9.576,11.25,12.632,14.395,14.703,16.751,17.234,18.143
5.424,7.892,9.582,11.275,12.732,14.433,14.707,16.79,17.252,18.252
5.41,7.891,9.611,11.293,12.686,14.406,14.748,16.836,17.29,18.243
5.439,7.929,9.628,11.324,12.662,14.426,14.772,16.89,17.245,18.296
5.431,7.959,9.652,11.381,12.741,14.471,14.843,16.932,17.331,18.277
5.458,7.984,9.669,11.426,12.79,14.451,14.843,16.941,17.41,18.32
5.436,8.038,9.688,11.457,12.791,14.477,14.897,16.993,17.468,18.312
5.439,8.021,9.714,11.468,12.81,14.462,14.966,17.065,17.49,18.394
5.436,8.042,9.747,11.524,12.83,14.512,15.012,17.108,17.465,18.42
5.448,8.045,9.718,11.582,12.827,14.457,15.015,17.196,17.483,18.445
5.46,8.044,9.747,11.567,12.906,14.474,15.048,17.242,17.498,18.502
5.485,8.085,9.738,11.601,12.931,14.47,15.093,17.267,17.493,18.596
5.488,8.098,9.749,11.642,12.954,14.509,15.179,17.299,17.587,18.641
5.49,8.107,9.783,11.646,12.977,14.518,15.234,17.364,17.604,18.694
5.514,8.09,9.828,11.677,13.02,14.604,15.301,17.398,17.651,18.695
5.522,8.095,9.842,11.718,13.039,14.613,15.317,17.409,17.689,18.755
5.539,8.105,9.807,11.681,13.102,14.611,15.381,17.4,17.68,18.829
5.545,8.139,9.833,11.75,13.101,14.58,15.403,17.435,17.812,18.859
5.55,8.16,9.828,11.782,13.1,14.607,15.524,17.436,17.86,18.933
5.571,8.203,9.883,11.783,13.108,14.626,15.609,17.44,17.866,18.964
5.564,8.193,9.893,11.791,13.14,14.643,15.569,17.454,17.913,19.004
5.566,8.206,9.913,11.788,13.114,14.654,15.637,17.438,17.884,19.013
5.59,8.213,9.93,11.842,13.108,14.666,15.687,17.502,17.872,19.089
5.572,8.261,9.924,11.837,13.16,14.732,15.672,17.598,17.892,19.058
5.586,8.264,9.94,11.897,13.126,14.717,15.717,17.621,17.93,19.129
